2005,CD,O
Suzuki,NNP,O
SV650S,NNP,O
Color,NNP,O
:,:,O
Blue,JJ,O
Displacement,NN,O
:,:,O
650cc,CD,O
Registration,NNP,O
paid,VBD,O
till,NN,O
May,NNP,O
2018,CD,O
Clean,NNP,O
title,NN,O
in,IN,O
hand,NN,O
There,EX,O
is,VBZ,O
a,DT,O
crack,NN,O
in,IN,O
the,DT,O
front,NN,O
fairing,VBG,O
on,IN,O
the,DT,O
right,NN,O
from,IN,O
previous,JJ,O
owner,NN,O
",",",",O
does,VBZ,O
n't,RB,O
effect,NN,O
riding,VBG,O
in,IN,O
any,DT,O
way,NN,O
.,.,O
I,PRP,O
will,MD,O
include,VB,O
10,CD,O
bottles,NNS,O
of,IN,O
engine,NN,O
oil,NN,O
and,CC,O
6,CD,O
filters,NNS,O
.,.,O
Asking,VBG,O
$,$,O
3000,CD,P
Text,NNP,O
me,PRP,O
on,IN,O
