1978,CD,O
HARLEY,NNP,O
DAVIDSON,NNP,O
SHOVEL,NNP,O
HEAD,NNP,O
NEW,NNP,O
TOP,NNP,O
AND,NNP,O
NEW,NNP,O
STARTER,NNP,O
NEW,NNP,O
CLUTCHES,NNP,O
NEW,NNP,O
BENDIX,NNP,O
DRIVE,NNP,O
90,CD,O
%,NN,O
STOCK,NNP,O
ALL,NNP,O
MATCHING,NNP,O
NUMBERS,NNP,O
LOOKS,NNP,O
AND,NNP,O
RUNS,NNP,O
EXCELLENT,NNP,O
CURRENTLY,NNP,O
REGISTERED,NNP,O
CLEAR,NNP,O
CALIFORNIA,NNP,O
TITLE,NNP,O
ASKING,NNP,O
$,$,O
"6,500",CD,P
FOR,NNP,O
DETAILS,NNP,O
CONTACT,NNP,O
MIKE,NNP,O
AT,NNP,O
PACIFIC,NNP,O
COAST,NNP,O
CYCLES,NNP,O
THIS,NNP,O
IS,VBZ,O
A,DT,O
LAND,NNP,O
LINE,NNP,O
",",",",O
PLEASE,NNP,O
NO,NNP,O
TEXT,NNP,O
MESSAGES,NNP,O
SERIOUS,NNP,O
BUYERS,NNP,O
ONLY,NNP,O
",",",",O
PLEASE,NNP,O
